step,amount,nameOrig,bankOrig,nameDest,bankDest
10,1382.91,89978,others,43376,others
10,1216.15,27899,handelsbanken,39931,handelsbanken
10,1134.16,35657,handelsbanken,36274,handelsbanken
10,1020.63,33902,handelsbanken,39760,handelsbanken
10,813.07,59126,others,89387,others
10,1190.44,39556,handelsbanken,29931,handelsbanken
10,432.08,38047,handelsbanken,34152,handelsbanken
10,1056.88,85799,others,26629,swedbank
10,344.83,94406,others,25543,swedbank
10,971.45,28630,handelsbanken,35117,handelsbanken
10,1482.09,70712,others,56270,others
10,826.28,71107,others,40939,handelsbanken
10,818.34,6948,swedbank,16021,swedbank
10,723.82,19559,swedbank,24896,swedbank
10,816.69,23148,swedbank,85608,others
10,758.17,27129,swedbank,94086,others
10,909.98,50874,others,83679,others
10,1577.55,84259,others,76924,others
10,584.71,12565,swedbank,64038,others
10,926.31,41086,handelsbanken,41063,handelsbanken
10,853.41,87275,others,45405,others
10,854.55,31496,handelsbanken,31856,handelsbanken
10,1596.26,80051,others,31586,handelsbanken
10,245.8,82562,others,31887,handelsbanken
10,738.37,19983,swedbank,23366,swedbank
10,1234.85,32731,handelsbanken,29050,handelsbanken
10,1237.36,5399,swedbank,21811,swedbank
10,241.16,35192,handelsbanken,33569,handelsbanken
10,379.72,13766,swedbank,52694,others
10,1160.13,72251,others,80090,others
10,624.2,75609,others,93444,others
10,557.24,63180,others,44971,others
10,106.0,69887,others,43394,others
10,307.96,30291,handelsbanken,46142,others
10,1373.41,51070,others,49441,others
10,823.12,51026,others,97126,others
10,1720.91,297,swedbank,12619,swedbank
10,248.19,32933,handelsbanken,14232,swedbank
10,183.32,43388,others,70473,others
10,1776.39,61448,others,70179,others
10,422.98,96618,others,13654,swedbank
10,772.15,77364,others,20301,swedbank
10,408.85,41540,others,66676,others
10,1543.19,15567,swedbank,1357,swedbank
10,1417.9,23562,swedbank,14443,swedbank
10,603.7,39466,handelsbanken,28056,handelsbanken
10,533.81,37733,handelsbanken,25279,swedbank
10,1860.88,8088,swedbank,811,swedbank
10,958.54,9102,swedbank,17153,swedbank
10,1056.84,24617,swedbank,90723,others
10,1430.02,8997,swedbank,77538,others
10,808.75,38154,handelsbanken,51071,others
10,1274.72,1667,swedbank,26144,swedbank
10,599.67,78342,others,79966,others
10,1106.6,12392,swedbank,79031,others
10,1134.85,80530,others,43283,others
11,1854.04,40041,handelsbanken,30311,handelsbanken
11,670.05,45567,others,15068,swedbank
11,477.74,81580,others,99978,others
11,756.63,58785,others,25279,swedbank
11,2018.71,28207,handelsbanken,37549,handelsbanken
11,321.46,59574,others,48036,others
11,39.01,38025,handelsbanken,66531,others
11,172.01,76686,others,33959,handelsbanken
11,834.78,31350,handelsbanken,40508,handelsbanken
11,512.99,52225,others,19963,swedbank
