id,src,dst,ttype
380,190,65197,TRANSFER
381,190,93634,TRANSFER
382,191,91891,TRANSFER
383,191,74409,TRANSFER
384,192,92982,TRANSFER
385,192,87365,TRANSFER
386,193,98705,TRANSFER
387,193,61298,TRANSFER
388,194,83488,TRANSFER
389,194,61101,TRANSFER
390,195,86083,TRANSFER
391,195,34378,TRANSFER
392,196,21229,TRANSFER
393,196,75974,TRANSFER
394,197,97987,TRANSFER
395,197,39693,TRANSFER
396,198,41529,TRANSFER
397,198,61249,TRANSFER
398,199,71740,TRANSFER
399,199,69933,TRANSFER
400,200,78789,TRANSFER
401,200,61811,TRANSFER
402,201,76432,TRANSFER
403,201,93145,TRANSFER
404,202,37796,TRANSFER
405,202,56171,TRANSFER
406,203,97598,TRANSFER
407,203,86367,TRANSFER
408,204,92426,TRANSFER
409,204,98797,TRANSFER
410,205,88800,TRANSFER
411,205,77337,TRANSFER
412,206,41626,TRANSFER
413,206,94276,TRANSFER
414,207,99700,TRANSFER
415,207,99252,TRANSFER
416,208,44391,TRANSFER
417,208,22357,TRANSFER
418,209,26096,TRANSFER
419,209,50132,TRANSFER
420,210,79525,TRANSFER
421,210,95961,TRANSFER
422,211,73084,TRANSFER
423,211,70624,TRANSFER
424,212,99918,TRANSFER
425,212,74572,TRANSFER
426,213,94951,TRANSFER
427,213,33590,TRANSFER
428,214,89336,TRANSFER
429,214,76605,TRANSFER
430,215,43012,TRANSFER
431,215,52605,TRANSFER
432,216,50347,TRANSFER
433,216,97557,TRANSFER
434,217,80517,TRANSFER
435,217,76540,TRANSFER
436,218,70799,TRANSFER
437,218,39510,TRANSFER
438,219,83553,TRANSFER
439,219,84615,TRANSFER
440,220,26268,TRANSFER
441,220,70973,TRANSFER
442,221,67335,TRANSFER
443,221,44399,TRANSFER
444,222,42065,TRANSFER
445,222,31819,TRANSFER
446,223,97441,TRANSFER
447,223,55064,TRANSFER
448,224,50473,TRANSFER
449,224,63276,TRANSFER
450,225,90729,TRANSFER
451,225,99614,TRANSFER
452,226,98948,TRANSFER
453,226,37947,TRANSFER
454,227,71058,TRANSFER
455,227,36023,TRANSFER
456,228,80983,TRANSFER
457,228,28188,TRANSFER
458,229,71613,TRANSFER
459,229,26071,TRANSFER
460,230,89562,TRANSFER
461,230,97088,TRANSFER
462,231,88969,TRANSFER
463,231,66568,TRANSFER
464,232,93069,TRANSFER
465,232,94853,TRANSFER
466,233,38482,TRANSFER
467,233,64610,TRANSFER
468,234,57449,TRANSFER
469,234,83202,TRANSFER
470,235,65748,TRANSFER
471,235,98715,TRANSFER
472,236,81124,TRANSFER
473,236,97236,TRANSFER
474,237,80122,TRANSFER
475,237,99936,TRANSFER
476,238,61571,TRANSFER
477,238,82597,TRANSFER
478,239,64940,TRANSFER
479,239,97332,TRANSFER
480,240,61954,TRANSFER
481,240,92111,TRANSFER
482,241,99075,TRANSFER
483,241,74106,TRANSFER
484,242,92466,TRANSFER
485,242,62708,TRANSFER
486,243,39588,TRANSFER
487,243,28793,TRANSFER
488,244,99979,TRANSFER
489,244,78650,TRANSFER
490,245,88686,TRANSFER
491,245,27385,TRANSFER
492,246,41502,TRANSFER
493,246,98990,TRANSFER
494,247,99909,TRANSFER
495,247,62096,TRANSFER
496,248,33337,TRANSFER
497,248,96517,TRANSFER
498,249,69635,TRANSFER
499,249,69848,TRANSFER
500,250,88242,TRANSFER
501,250,44683,TRANSFER
502,251,33779,TRANSFER
503,251,45603,TRANSFER
504,252,39503,TRANSFER
505,252,68860,TRANSFER
506,253,76862,TRANSFER
507,253,83984,TRANSFER
508,254,48581,TRANSFER
509,254,84159,TRANSFER
510,255,34079,TRANSFER
511,255,91957,TRANSFER
512,256,63662,TRANSFER
513,256,73281,TRANSFER
514,257,71563,TRANSFER
515,257,89622,TRANSFER
516,258,62690,TRANSFER
517,258,66263,TRANSFER
518,259,87972,TRANSFER
519,259,87381,TRANSFER
520,260,63495,TRANSFER
521,260,99985,TRANSFER
522,261,85633,TRANSFER
523,261,86663,TRANSFER
524,262,84183,TRANSFER
525,262,83083,TRANSFER
526,263,99408,TRANSFER
527,263,88526,TRANSFER
528,264,66621,TRANSFER
529,264,99903,TRANSFER
530,265,43742,TRANSFER
531,265,84363,TRANSFER
532,266,99412,TRANSFER
533,266,28004,TRANSFER
534,267,44009,TRANSFER
535,267,27292,TRANSFER
536,268,89462,TRANSFER
537,268,84258,TRANSFER
538,269,99642,TRANSFER
539,269,96356,TRANSFER
540,270,97192,TRANSFER
541,270,91457,TRANSFER
542,271,67293,TRANSFER
543,271,51804,TRANSFER
544,272,96896,TRANSFER
545,272,91008,TRANSFER
546,273,39436,TRANSFER
547,273,27015,TRANSFER
548,274,68111,TRANSFER
549,274,97199,TRANSFER
550,275,89676,TRANSFER
551,275,92191,TRANSFER
552,276,92835,TRANSFER
553,276,98128,TRANSFER
554,277,64259,TRANSFER
555,277,90057,TRANSFER
556,278,58183,TRANSFER
557,278,99894,TRANSFER
558,279,23258,TRANSFER
559,279,31895,TRANSFER
560,280,63609,TRANSFER
561,280,94987,TRANSFER
562,281,34201,TRANSFER
563,281,97062,TRANSFER
564,282,48354,TRANSFER
565,282,63153,TRANSFER
566,283,95807,TRANSFER
567,283,28476,TRANSFER
568,284,69543,TRANSFER
569,284,95782,TRANSFER
570,285,64540,TRANSFER
571,285,68574,TRANSFER
572,286,27152,TRANSFER
573,286,54256,TRANSFER
574,287,45252,TRANSFER
575,287,82375,TRANSFER
576,288,78408,TRANSFER
577,288,92019,TRANSFER
578,289,76849,TRANSFER
579,289,90245,TRANSFER
580,290,69186,TRANSFER
581,290,51582,TRANSFER
582,291,71907,TRANSFER
583,291,30495,TRANSFER
584,292,98031,TRANSFER
585,292,21454,TRANSFER
586,293,78862,TRANSFER
587,293,69752,TRANSFER
588,294,63919,TRANSFER
589,294,84445,TRANSFER
590,295,45154,TRANSFER
591,295,47220,TRANSFER
592,296,99440,TRANSFER
593,296,78502,TRANSFER
594,297,85493,TRANSFER
595,297,81556,TRANSFER
596,298,80032,TRANSFER
597,298,93868,TRANSFER
598,299,82904,TRANSFER
599,299,71603,TRANSFER
600,300,20722,TRANSFER
601,300,67458,TRANSFER
602,301,88873,TRANSFER
603,301,48659,TRANSFER
604,302,97530,TRANSFER
605,302,66152,TRANSFER
606,303,61558,TRANSFER
607,303,65848,TRANSFER
608,304,64758,TRANSFER
609,304,97509,TRANSFER
610,305,96171,TRANSFER
611,305,91669,TRANSFER
612,306,46468,TRANSFER
613,306,93055,TRANSFER
614,307,92027,TRANSFER
615,307,90538,TRANSFER
616,308,97846,TRANSFER
617,308,85134,TRANSFER
618,309,99474,TRANSFER
619,309,59806,TRANSFER
620,310,97378,TRANSFER
621,310,98708,TRANSFER
622,311,98176,TRANSFER
623,311,78810,TRANSFER
624,312,54668,TRANSFER
625,312,26798,TRANSFER
626,313,95204,TRANSFER
627,313,99379,TRANSFER
628,314,74815,TRANSFER
629,314,50778,TRANSFER
630,315,68110,TRANSFER
631,315,77499,TRANSFER
632,316,45291,TRANSFER
633,316,39874,TRANSFER
634,317,64872,TRANSFER
635,317,79557,TRANSFER
636,318,67738,TRANSFER
637,318,45626,TRANSFER
638,319,68914,TRANSFER
639,319,99165,TRANSFER
640,320,96122,TRANSFER
641,320,65179,TRANSFER
642,321,80882,TRANSFER
643,321,75986,TRANSFER
644,322,96351,TRANSFER
645,322,21906,TRANSFER
646,323,99187,TRANSFER
647,323,70761,TRANSFER
648,324,96634,TRANSFER
649,324,42389,TRANSFER
650,325,63383,TRANSFER
651,325,37848,TRANSFER
652,326,98701,TRANSFER
653,326,99665,TRANSFER
654,327,81947,TRANSFER
655,327,90170,TRANSFER
656,328,40439,TRANSFER
657,328,85738,TRANSFER
658,329,99595,TRANSFER
659,329,99673,TRANSFER
660,330,63828,TRANSFER
661,330,50076,TRANSFER
662,331,88089,TRANSFER
663,331,64572,TRANSFER
664,332,32498,TRANSFER
665,332,90068,TRANSFER
666,333,24926,TRANSFER
667,333,63604,TRANSFER
668,334,99851,TRANSFER
669,334,64065,TRANSFER
670,335,60413,TRANSFER
671,335,63186,TRANSFER
672,336,99654,TRANSFER
673,336,82109,TRANSFER
674,337,35907,TRANSFER
675,337,86103,TRANSFER
676,338,53870,TRANSFER
677,338,87847,TRANSFER
678,339,94976,TRANSFER
679,339,96315,TRANSFER
680,340,35451,TRANSFER
681,340,92031,TRANSFER
682,341,57775,TRANSFER
683,341,69287,TRANSFER
684,342,26061,TRANSFER
685,342,43170,TRANSFER
686,343,95727,TRANSFER
687,343,70797,TRANSFER
688,344,59307,TRANSFER
689,344,66108,TRANSFER
690,345,47060,TRANSFER
691,345,73569,TRANSFER
692,346,83758,TRANSFER
693,346,32984,TRANSFER
694,347,98164,TRANSFER
695,347,89443,TRANSFER
696,348,68735,TRANSFER
697,348,98485,TRANSFER
698,349,74319,TRANSFER
699,349,76521,TRANSFER
700,350,80682,TRANSFER
701,350,34390,TRANSFER
702,351,95381,TRANSFER
703,351,69546,TRANSFER
704,352,28962,TRANSFER
705,352,91828,TRANSFER
706,353,62182,TRANSFER
707,353,41339,TRANSFER
708,354,27478,TRANSFER
709,354,64119,TRANSFER
710,355,89918,TRANSFER
711,355,79135,TRANSFER
712,356,82682,TRANSFER
713,356,92594,TRANSFER
714,357,49811,TRANSFER
715,357,70143,TRANSFER
716,358,58856,TRANSFER
717,358,99416,TRANSFER
718,359,71749,TRANSFER
719,359,66044,TRANSFER
720,360,73606,TRANSFER
721,360,92017,TRANSFER
722,361,35438,TRANSFER
723,361,31412,TRANSFER
724,362,92026,TRANSFER
725,362,99852,TRANSFER
726,363,90553,TRANSFER
727,363,97390,TRANSFER
728,364,82619,TRANSFER
729,364,99866,TRANSFER
730,365,84702,TRANSFER
731,365,75599,TRANSFER
732,366,75849,TRANSFER
733,366,97585,TRANSFER
734,367,89961,TRANSFER
735,367,99022,TRANSFER
736,368,70051,TRANSFER
737,368,24911,TRANSFER
738,369,99409,TRANSFER
739,369,26560,TRANSFER
740,370,86933,TRANSFER
741,370,98327,TRANSFER
742,371,38343,TRANSFER
743,371,97946,TRANSFER
744,372,82656,TRANSFER
745,372,76058,TRANSFER
746,373,47470,TRANSFER
747,373,21182,TRANSFER
748,374,89367,TRANSFER
749,374,72036,TRANSFER
750,375,98180,TRANSFER
751,375,46063,TRANSFER
752,376,69225,TRANSFER
753,376,88905,TRANSFER
754,377,85406,TRANSFER
755,377,52239,TRANSFER
756,378,81932,TRANSFER
757,378,93038,TRANSFER
758,379,89702,TRANSFER
759,379,31484,TRANSFER
760,380,95285,TRANSFER
761,380,83984,TRANSFER
762,381,58637,TRANSFER
763,381,97306,TRANSFER
764,382,63638,TRANSFER
765,382,76913,TRANSFER
766,383,97589,TRANSFER
767,383,23270,TRANSFER
768,384,38460,TRANSFER
769,384,99350,TRANSFER
770,385,24364,TRANSFER
771,385,69045,TRANSFER
772,386,91099,TRANSFER
773,386,67551,TRANSFER
774,387,92936,TRANSFER
775,387,46085,TRANSFER
776,388,35971,TRANSFER
777,388,99982,TRANSFER
778,389,36103,TRANSFER
779,389,43098,TRANSFER
780,390,94179,TRANSFER
781,390,33545,TRANSFER
782,391,98923,TRANSFER
783,391,89667,TRANSFER
784,392,57580,TRANSFER
785,392,74887,TRANSFER
786,393,81084,TRANSFER
787,393,70818,TRANSFER
788,394,64906,TRANSFER
789,394,40416,TRANSFER
790,395,92366,TRANSFER
791,395,99925,TRANSFER
792,396,61123,TRANSFER
793,396,99496,TRANSFER
794,397,31259,TRANSFER
795,397,77311,TRANSFER
796,398,92976,TRANSFER
797,398,35836,TRANSFER
798,399,82954,TRANSFER
799,399,96532,TRANSFER
800,400,58889,TRANSFER
801,400,99961,TRANSFER
802,401,98775,TRANSFER
803,401,60362,TRANSFER
804,402,68714,TRANSFER
805,402,61204,TRANSFER
806,403,34073,TRANSFER
807,403,22886,TRANSFER
808,404,37638,TRANSFER
809,404,85155,TRANSFER
810,405,66122,TRANSFER
811,405,88572,TRANSFER
812,406,58094,TRANSFER
813,406,47140,TRANSFER
814,407,98168,TRANSFER
815,407,97238,TRANSFER
816,408,88420,TRANSFER
817,408,82965,TRANSFER
818,409,82750,TRANSFER
819,409,42169,TRANSFER
820,410,26528,TRANSFER
821,410,95577,TRANSFER
822,411,99569,TRANSFER
823,411,96997,TRANSFER
824,412,23051,TRANSFER
825,412,63977,TRANSFER
826,413,76491,TRANSFER
827,413,98623,TRANSFER
828,414,45913,TRANSFER
829,414,57570,TRANSFER
830,415,80339,TRANSFER
831,415,88574,TRANSFER
832,416,67799,TRANSFER
833,416,99719,TRANSFER
834,417,94065,TRANSFER
835,417,74744,TRANSFER
836,418,88497,TRANSFER
837,418,67948,TRANSFER
838,419,99269,TRANSFER
839,419,21768,TRANSFER
840,420,95178,TRANSFER
841,420,95862,TRANSFER
842,421,78279,TRANSFER
843,421,70625,TRANSFER
844,422,99481,TRANSFER
845,422,72557,TRANSFER
846,423,64415,TRANSFER
847,423,96529,TRANSFER
848,424,77091,TRANSFER
849,424,71943,TRANSFER
850,425,86159,TRANSFER
851,425,98298,TRANSFER
852,426,54754,TRANSFER
853,426,60591,TRANSFER
854,427,30615,TRANSFER
855,427,46549,TRANSFER
856,428,77642,TRANSFER
857,428,70946,TRANSFER
858,429,54847,TRANSFER
859,429,70397,TRANSFER
860,430,85778,TRANSFER
861,430,99983,TRANSFER
862,431,72464,TRANSFER
863,431,88336,TRANSFER
864,432,83944,TRANSFER
865,432,49282,TRANSFER
866,433,99070,TRANSFER
867,433,85062,TRANSFER
868,434,99979,TRANSFER
869,434,97954,TRANSFER
870,435,30884,TRANSFER
871,435,44023,TRANSFER
872,436,99614,TRANSFER
873,436,51322,TRANSFER
874,437,96653,TRANSFER
875,437,86100,TRANSFER
876,438,80783,TRANSFER
877,438,52043,TRANSFER
878,439,27231,TRANSFER
879,439,81181,TRANSFER
880,440,72338,TRANSFER
881,440,61934,TRANSFER
882,441,85521,TRANSFER
883,441,21818,TRANSFER
884,442,50381,TRANSFER
885,442,51703,TRANSFER
886,443,89406,TRANSFER
887,443,77706,TRANSFER
888,444,36316,TRANSFER
889,444,72494,TRANSFER
890,445,74205,TRANSFER
891,445,97152,TRANSFER
892,446,98897,TRANSFER
893,446,51885,TRANSFER
894,447,81923,TRANSFER
895,447,63280,TRANSFER
896,448,99993,TRANSFER
897,448,98163,TRANSFER
898,449,35466,TRANSFER
899,449,58462,TRANSFER
900,450,80508,TRANSFER
901,450,96885,TRANSFER
902,451,65120,TRANSFER
903,451,76126,TRANSFER
904,452,98298,TRANSFER
905,452,99379,TRANSFER
906,453,98303,TRANSFER
907,453,25268,TRANSFER
908,454,37546,TRANSFER
909,454,73073,TRANSFER
910,455,76510,TRANSFER
911,455,73279,TRANSFER
912,456,73694,TRANSFER
913,456,92395,TRANSFER
914,457,25298,TRANSFER
915,457,79032,TRANSFER
916,458,81659,TRANSFER
917,458,79234,TRANSFER
918,459,72672,TRANSFER
919,459,98051,TRANSFER
920,460,65620,TRANSFER
921,460,46582,TRANSFER
922,461,83631,TRANSFER
923,461,33381,TRANSFER
924,462,53562,TRANSFER
925,462,86838,TRANSFER
926,463,99509,TRANSFER
927,463,95635,TRANSFER
928,464,37595,TRANSFER
929,464,30355,TRANSFER
930,465,86154,TRANSFER
931,465,89936,TRANSFER
932,466,93038,TRANSFER
933,466,80355,TRANSFER
934,467,99158,TRANSFER
935,467,93707,TRANSFER
936,468,84517,TRANSFER
937,468,58149,TRANSFER
938,469,62372,TRANSFER
939,469,96484,TRANSFER
940,470,61194,TRANSFER
941,470,72990,TRANSFER
942,471,97333,TRANSFER
943,471,99871,TRANSFER
944,472,92277,TRANSFER
945,472,79908,TRANSFER
946,473,96941,TRANSFER
947,473,37956,TRANSFER
948,474,31275,TRANSFER
949,474,91107,TRANSFER
950,475,28491,TRANSFER
951,475,34024,TRANSFER
952,476,63427,TRANSFER
953,476,68231,TRANSFER
954,477,57604,TRANSFER
955,477,56006,TRANSFER
956,478,91771,TRANSFER
957,478,74724,TRANSFER
958,479,35577,TRANSFER
959,479,35369,TRANSFER
960,480,99450,TRANSFER
961,480,90052,TRANSFER
962,481,89161,TRANSFER
963,481,53010,TRANSFER
964,482,64463,TRANSFER
965,482,26830,TRANSFER
966,483,73761,TRANSFER
967,483,83617,TRANSFER
968,484,53388,TRANSFER
969,484,52718,TRANSFER
970,485,72395,TRANSFER
971,485,81327,TRANSFER
972,486,28158,TRANSFER
973,486,91016,TRANSFER
974,487,88862,TRANSFER
975,487,58058,TRANSFER
976,488,25253,TRANSFER
977,488,95915,TRANSFER
978,489,52548,TRANSFER
979,489,31613,TRANSFER
980,490,33349,TRANSFER
981,490,99266,TRANSFER
982,491,57780,TRANSFER
983,491,70453,TRANSFER
984,492,80230,TRANSFER
985,492,84129,TRANSFER
986,493,87667,TRANSFER
987,493,73402,TRANSFER
988,494,30762,TRANSFER
989,494,57099,TRANSFER
990,495,95370,TRANSFER
991,495,93526,TRANSFER
992,496,39138,TRANSFER
993,496,94084,TRANSFER
994,497,84050,TRANSFER
995,497,70374,TRANSFER
996,498,89446,TRANSFER
997,498,75675,TRANSFER
