2023-07-02_21:42:13: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7082921955734491, 'accuracy': 0.9652670787234731, 'recall': 0.07804270382395381, 'precision': 0.02031394519701062, 'f1': 0.02191828115887984}
2023-07-02_22:00:29: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7239405065774918, 'accuracy': 0.8774375520631147, 'recall': 0.12250537367724869, 'precision': 0.014184916394933602, 'f1': 0.015281897020549386}
2023-07-02_22:01:47: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7239167060082157, 'accuracy': 0.9353451304307389, 'recall': 0.06208457341269843, 'precision': 0.012615756445646803, 'f1': 0.008980305037131707}
2023-07-02_22:03:05: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.723881126071016, 'accuracy': 0.9487724857053895, 'recall': 0.061032572751322754, 'precision': 0.01263872273501076, 'f1': 0.013263825891706967}
2023-07-02_22:04:23: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7237923132876555, 'accuracy': 0.975305340058068, 'recall': 0.06197503306878306, 'precision': 0.013649289080822916, 'f1': 0.016268433891676468}
2023-07-02_22:05:42: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7236529669413965, 'accuracy': 0.9865476241022904, 'recall': 0.01610863095238095, 'precision': 0.012760369199513935, 'f1': 0.009083316374983042}
2023-07-02_22:07:00: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7232855434219043, 'accuracy': 0.9707777445854361, 'recall': 0.030669229497354494, 'precision': 0.013671522597110837, 'f1': 0.008106916555158702}
2023-07-02_22:08:19: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7226657175148528, 'accuracy': 0.990712673274133, 'recall': 0.003304811507936508, 'precision': 0.007378472222222221, 'f1': 0.0043981481481481476}
2023-07-02_22:09:36: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7240618010982871, 'accuracy': 0.9391195798759382, 'recall': 0.07971850198412697, 'precision': 0.00763096236780622, 'f1': 0.012249672386376679}
2023-07-02_22:10:54: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7240605397770802, 'accuracy': 0.9417709445361024, 'recall': 0.08057208994708993, 'precision': 0.016205848325826125, 'f1': 0.015070404234737125}
2023-07-02_22:12:13: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.724056255693237, 'accuracy': 0.9457290681005759, 'recall': 0.06455853174603174, 'precision': 0.005577212904526546, 'f1': 0.007373120211834524}
2023-07-02_22:13:30: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7240492723261316, 'accuracy': 0.9750998676687047, 'recall': 0.036408730158730154, 'precision': 0.012411441248023201, 'f1': 0.006755481831154755}
2023-07-02_22:14:48: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.724035918712616, 'accuracy': 0.9874871611348344, 'recall': 0.004586226851851852, 'precision': 0.012954059829059828, 'f1': 0.005681818181818182}
2023-07-02_22:16:06: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7239984932045143, 'accuracy': 0.989737121708398, 'recall': 0.010691550925925926, 'precision': 0.016513723544973546, 'f1': 0.01112325174825175}
2023-07-02_22:17:24: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7239329780762394, 'accuracy': 0.9911991222057777, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-02_22:18:42: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7098710589731734, 'accuracy': 0.9435419750016175, 'recall': 0.10565682870370371, 'precision': 0.018151985075632933, 'f1': 0.017217448046274127}
2023-07-02_22:20:00: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7066266341134906, 'accuracy': 0.9889131470990231, 'recall': 0.004255726911976912, 'precision': 0.006873855311355311, 'f1': 0.004568001443001443}
2023-07-02_22:21:18: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7037417938311894, 'accuracy': 0.9578283084845691, 'recall': 0.030700231481481474, 'precision': 0.006046729925220019, 'f1': 0.005094472358231624}
2023-07-02_22:22:36: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.6987212259943287, 'accuracy': 0.9380081208349509, 'recall': 0.07972714496151996, 'precision': 0.008944313365958719, 'f1': 0.008470595131362354}
2023-07-02_22:23:53: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.686751551926136, 'accuracy': 0.9820320334740553, 'recall': 0.017850942460317463, 'precision': 0.017599695425084917, 'f1': 0.008192564006769603}
2023-07-02_22:25:11: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.6681065751860539, 'accuracy': 0.974712490295031, 'recall': 0.027292080026455025, 'precision': 0.012131466063464973, 'f1': 0.006386507299439583}
2023-07-02_22:26:29: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.6467520765339334, 'accuracy': 0.9913590393698241, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-02_22:27:46: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7226244726528723, 'accuracy': 0.9444778473974509, 'recall': 0.10235615079365079, 'precision': 0.01384815946456586, 'f1': 0.020903770285563714}
2023-07-02_22:29:04: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7224168616036574, 'accuracy': 0.9584563513967067, 'recall': 0.039618468915343916, 'precision': 0.022266585273409828, 'f1': 0.012380779097385646}
2023-07-02_22:30:22: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7218009311084946, 'accuracy': 0.9803741012794385, 'recall': 0.022005208333333335, 'precision': 0.014183513207230927, 'f1': 0.00925243962590446}
2023-07-02_22:31:40: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7212732421855131, 'accuracy': 0.9478356023752912, 'recall': 0.06208457341269841, 'precision': 0.013359329841505927, 'f1': 0.008720566848104577}
2023-07-02_22:32:58: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7198518356308341, 'accuracy': 0.9890093754043736, 'recall': 0.0013020833333333333, 'precision': 0.0008680555555555555, 'f1': 0.0010416666666666667}
2023-07-02_22:34:17: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7164398189634085, 'accuracy': 0.975073204277465, 'recall': 0.0420097552910053, 'precision': 0.009387479216786926, 'f1': 0.012952356013712816}
2023-07-02_22:35:34: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7105355880533656, 'accuracy': 0.9905692469752847, 'recall': 0.004513888888888889, 'precision': 0.0078125, 'f1': 0.00547325937950938}
2023-07-02_22:36:52: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7239178478096923, 'accuracy': 0.9817406948555576, 'recall': 0.04600487764550265, 'precision': 0.019086784461828155, 'f1': 0.015308868829039039}
2023-07-02_22:38:10: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7239125020181139, 'accuracy': 0.9454902348804671, 'recall': 0.047910466269841266, 'precision': 0.0027732785582908264, 'f1': 0.004617697334676281}
2023-07-02_22:39:26: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7238524459923308, 'accuracy': 0.9833461216517857, 'recall': 0.024334490740740743, 'precision': 0.013720010842706592, 'f1': 0.008475340355185795}
2023-07-02_22:40:44: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7238031274949511, 'accuracy': 0.9489739143576928, 'recall': 0.054352678571428566, 'precision': 0.017299499561605296, 'f1': 0.00985533818965652}
2023-07-02_22:42:01: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7236707461997867, 'accuracy': 0.9237437751722632, 'recall': 0.09371899801587302, 'precision': 0.008668051192646286, 'f1': 0.009983576805183284}
2023-07-02_22:43:19: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7233072531720003, 'accuracy': 0.9689255234617624, 'recall': 0.037605406746031744, 'precision': 0.013038901970886842, 'f1': 0.010893171667054646}
2023-07-02_22:44:37: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7227186849340796, 'accuracy': 0.98550718319342, 'recall': 0.02386326058201058, 'precision': 0.008540537868586677, 'f1': 0.010826986991070622}
2023-07-02_22:45:54: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7240611305460334, 'accuracy': 0.9190904447504205, 'recall': 0.07593419312169312, 'precision': 0.007895315082156627, 'f1': 0.006806189672496545}
2023-07-02_22:47:13: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7240594566489259, 'accuracy': 0.9754746083640657, 'recall': 0.03523892195767195, 'precision': 0.006421964698280228, 'f1': 0.008659163342596067}
2023-07-02_22:48:30: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7240558530514439, 'accuracy': 0.9476736633427147, 'recall': 0.06945064484126984, 'precision': 0.014625751489300329, 'f1': 0.012738036111362806}
2023-07-02_22:49:48: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7240485362708569, 'accuracy': 0.9869876964245277, 'recall': 0.03430059523809524, 'precision': 0.0187091294056397, 'f1': 0.01867547731815669}
2023-07-02_22:51:05: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7240339204048116, 'accuracy': 0.9910705440039467, 'recall': 0.00248015873015873, 'precision': 0.0078125, 'f1': 0.0033854166666666668}
2023-07-02_22:52:22: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7239943596844871, 'accuracy': 0.985243518900427, 'recall': 0.016294642857142858, 'precision': 0.002217790498025381, 'f1': 0.0038366510212985874}
2023-07-02_22:53:39: {'batch_size': 512, 'beta': 0.3, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7239345833659172, 'accuracy': 0.9878356807226967, 'recall': 0.015013415404040402, 'precision': 0.012893178104575163, 'f1': 0.01260322324805684}
2023-07-02_22:54:57: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7091156036282579, 'accuracy': 0.9416887429436788, 'recall': 0.07150297619047619, 'precision': 0.016184083560492467, 'f1': 0.010066823690086973}
2023-07-02_22:56:14: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7075259598592918, 'accuracy': 0.9602723684370147, 'recall': 0.02755456349206349, 'precision': 0.0061173939742767735, 'f1': 0.0034843853022542837}
2023-07-02_22:57:32: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7030911259353161, 'accuracy': 0.9723599830769605, 'recall': 0.0382322104978355, 'precision': 0.016335223069239208, 'f1': 0.011645229215579488}
2023-07-02_22:58:49: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.6982801348591845, 'accuracy': 0.9268177103552019, 'recall': 0.0818080357142857, 'precision': 0.01337957377326935, 'f1': 0.011226648746880608}
2023-07-02_23:00:07: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.68762398386995, 'accuracy': 0.9870837351797037, 'recall': 0.008172123015873016, 'precision': 0.012152777777777778, 'f1': 0.009180460742960743}
2023-07-02_23:01:25: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.6676518137877185, 'accuracy': 0.9793983601635288, 'recall': 0.02366898148148148, 'precision': 0.02344502328312586, 'f1': 0.012428096821737589}
2023-07-02_23:02:43: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.6490504577135046, 'accuracy': 0.9884452109011064, 'recall': 0.00587797619047619, 'precision': 0.0029382365319865315, 'f1': 0.0038057608100711556}
2023-07-02_23:04:01: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7225149621566137, 'accuracy': 0.9238473327510353, 'recall': 0.0761842757936508, 'precision': 0.013202725607620902, 'f1': 0.009701439902934685}
2023-07-02_23:05:18: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.722388275898993, 'accuracy': 0.957073898789305, 'recall': 0.05068824404761905, 'precision': 0.017325682836182882, 'f1': 0.014716039563800501}
2023-07-02_23:06:36: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7218419710795085, 'accuracy': 0.99060260780603, 'recall': 0.002951388888888889, 'precision': 0.010416666666666666, 'f1': 0.004526289682539683}
2023-07-02_23:07:54: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7209376320242882, 'accuracy': 0.9541582380022322, 'recall': 0.043993882275132276, 'precision': 0.013746626417858761, 'f1': 0.009447648221932408}
2023-07-02_23:09:12: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7199883460998535, 'accuracy': 0.9893957418437823, 'recall': 0.0158192791005291, 'precision': 0.03242807539682539, 'f1': 0.017976757039257038}
2023-07-02_23:10:29: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7161549391845862, 'accuracy': 0.990780216319714, 'recall': 0.004092261904761904, 'precision': 0.014322916666666666, 'f1': 0.005435681216931217}
2023-07-02_23:11:47: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7108723390847445, 'accuracy': 0.9854166413933101, 'recall': 0.02201779701779702, 'precision': 0.017430929126701182, 'f1': 0.015262630726543266}
2023-07-02_23:13:04: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7238333187997341, 'accuracy': 0.9780740994597568, 'recall': 0.034135251322751324, 'precision': 0.010156301393337534, 'f1': 0.007930453309542135}
2023-07-02_23:14:22: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.723811267875135, 'accuracy': 0.9452656179234602, 'recall': 0.06277901785714286, 'precision': 0.012554566837705379, 'f1': 0.010208955752821876}
2023-07-02_23:15:39: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7237865440547466, 'accuracy': 0.9410468628687889, 'recall': 0.06908068783068784, 'precision': 0.015478566312862905, 'f1': 0.010973729881766332}
2023-07-02_23:16:57: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7237082549060384, 'accuracy': 0.9832657523777174, 'recall': 0.02935267857142857, 'precision': 0.012435727138579844, 'f1': 0.015244649015277775}
2023-07-02_23:18:14: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7235507083435853, 'accuracy': 0.9820735449623124, 'recall': 0.017439649470899474, 'precision': 0.013250761125972966, 'f1': 0.008187048887321453}
2023-07-02_23:19:31: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7232166615625223, 'accuracy': 0.979851448264428, 'recall': 0.025930059523809525, 'precision': 0.014697395329951627, 'f1': 0.013494610883883313}
2023-07-02_23:20:49: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7225840634976824, 'accuracy': 0.9912314721022579, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-02_23:22:07: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7239742999275525, 'accuracy': 0.9716053838315217, 'recall': 0.0521474041005291, 'precision': 0.01209934040201421, 'f1': 0.014737370468267053}
2023-07-02_23:23:25: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7239742403229077, 'accuracy': 0.8947276239809783, 'recall': 0.11909628276815777, 'precision': 0.01689459368382502, 'f1': 0.013203877672403271}
2023-07-02_23:24:42: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7239681280528505, 'accuracy': 0.9783772533724767, 'recall': 0.04782159391534391, 'precision': 0.016143135705226425, 'f1': 0.015408962470095605}
2023-07-02_23:25:59: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7239625062793493, 'accuracy': 0.9511241715393699, 'recall': 0.04512235449735451, 'precision': 0.006365077886940467, 'f1': 0.00397857877526407}
2023-07-02_23:27:16: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7239462872967124, 'accuracy': 0.9903788122331133, 'recall': 0.0024367559523809524, 'precision': 0.013020833333333332, 'f1': 0.004079861111111111}
2023-07-02_23:28:33: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7239083579430978, 'accuracy': 0.9911852850430254, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-02_23:29:51: {'batch_size': 512, 'beta': 0.5, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7238488687823217, 'accuracy': 0.9911972898874223, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-02_23:31:09: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7075009125595292, 'accuracy': 0.9401591994007181, 'recall': 0.06907448743386244, 'precision': 0.0213723174722672, 'f1': 0.013400943397097452}
2023-07-02_23:32:26: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7049212924515208, 'accuracy': 0.9803055472995924, 'recall': 0.04388640873015873, 'precision': 0.015408122103280544, 'f1': 0.011010520098396037}
2023-07-02_23:33:45: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7024928787723184, 'accuracy': 0.9623005553061916, 'recall': 0.027951388888888894, 'precision': 0.00885064329838319, 'f1': 0.005456153826836982}
