account,bank,sum,mean,median,std,max,min,in_sum,out_sum,in_mean,out_mean,in_median,out_median,in_std,out_std,in_max,out_max,in_min,out_min,count_in,count_out,count_days_in_bank,count_phone_changes,sum_spending,mean_spending,median_spending,std_spending,max_spending,min_spending,count_spending,is_sar
9807,bank,5867.45,345.1441176470588,483.54,734.9180714122053,1352.52,-830.37,8927.76,-3060.31,811.6145454545455,-510.0516666666667,849.51,-606.725,367.9279896219812,318.20209121982003,1352.52,-79.88,142.76,-830.37,11,6,266,0,138317.31,980.9738297872341,542.54,1720.6904382293171,7416.63,9.72,141,0
548,bank,-11558.929999999998,-30.25897905759162,-42.285,866.8568677238201,1880.52,-2112.08,138672.16000000003,-150231.08999999997,737.6178723404257,-774.3870618556699,686.435,-747.4749999999999,409.7850617584402,435.6098179821142,1880.52,-14.73,37.9,-2112.08,188,194,274,0,143603.59,1040.605724637681,375.275,2269.930187872723,9513.46,1.04,138,0
8924,bank,14553.539999999999,485.118,734.44,936.6191087626338,1589.42,-1650.88,21519.479999999996,-6965.9400000000005,978.1581818181817,-870.7425000000001,1227.76,-953.5450000000001,436.65292558862836,444.2670919535422,1589.42,-232.61,232.61,-1650.88,22,8,273,0,214957.68000000002,1369.1571974522294,478.79,3536.7933460741524,15604.54,0.19,157,0
8348,bank,309.4799999999996,17.193333333333314,41.185,1024.3523173722422,1725.14,-1441.39,8432.93,-8123.450000000001,936.9922222222223,-902.6055555555556,846.47,-739.05,432.8519168196491,372.59800868734897,1725.14,-308.2,390.57,-1441.39,9,9,254,0,251605.25,1612.8541666666667,456.6,4643.290478612015,20275.34,7.09,156,0
5582,bank,-3186.69,-96.56636363636363,6.44,748.5729434013854,1302.84,-1692.91,8687.98,-11874.67,511.0576470588235,-742.166875,430.14,-700.235,366.0308612591534,435.3229231994528,1302.84,-110.46,6.44,-1692.91,17,16,270,0,109181.09,718.296644736842,454.815,1072.0655015213597,4790.99,0.16,152,0
3676,bank,-177.24999999999898,-1.969444444444433,132.88,838.4326135389505,1714.03,-1566.86,32353.170000000002,-32530.42,688.3653191489362,-756.5213953488371,620.59,-730.54,430.9268292163797,412.36103881926323,1714.03,-23.08,32.25,-1566.86,47,43,271,0,147745.43,1070.6190579710144,530.51,1995.2902936376224,8474.07,10.92,138,0
7237,bank,807.5200000000002,25.235000000000007,76.29,794.543671156088,1360.54,-2018.14,11096.44,-10288.92,652.7317647058824,-685.928,612.35,-497.89,362.2194762888119,477.4158421603899,1360.54,-72.58,20.59,-2018.14,17,15,273,0,128264.75,866.6537162162163,467.195,1518.506878443194,6679.94,5.8,148,0
1583,bank,-376.7799999999994,-1.802775119617222,13.68,790.9929652177651,1794.0,-1973.72,69270.31999999999,-69647.1,659.7173333333333,-669.6836538461539,615.2,-603.01,408.8887317339209,445.16711983114027,1794.0,-6.23,13.68,-1973.72,105,104,275,0,163627.38999999998,2211.180945945946,471.4,4689.894932790515,14706.32,1.13,74,0
3548,bank,-7240.67,-64.07672566371681,-137.39,733.4421108868911,1764.17,-1856.96,30823.930000000004,-38064.6,581.5835849056605,-634.41,563.78,-630.595,379.36921544490923,434.7957382651758,1764.17,-34.53,50.06,-1856.96,53,60,274,0,196184.99,1181.8372891566264,489.66499999999996,2790.889100953292,12710.56,8.85,166,0
3249,bank,-3967.4800000000005,-36.73592592592593,-62.505,883.8169797040298,2041.02,-2155.28,39752.80000000001,-43720.280000000006,750.0528301886794,-794.9141818181819,682.86,-686.76,419.7556938972284,430.20707808669573,2041.02,-39.03,41.09,-2155.28,53,55,271,0,267162.37,1734.8205844155843,429.235,5145.2985922692715,22273.54,0.62,154,0
4756,bank,5923.5,116.1470588235294,303.37,915.7923094835294,1373.31,-2076.67,23990.48,-18066.980000000003,856.8028571428571,-785.5208695652175,865.3050000000001,-730.58,322.4950269826985,479.89539648962744,1373.31,-119.95,154.26,-2076.67,28,23,267,0,146813.63,879.1235329341317,432.22,1692.4465059429228,7813.75,2.28,167,0
5176,bank,-4590.9400000000005,-77.81254237288137,76.8,772.5417371753501,1310.7,-1634.02,17362.16,-21953.100000000002,578.7386666666666,-757.0034482758622,626.7349999999999,-765.49,337.18026481019206,422.96083299990136,1310.7,-114.33,76.8,-1634.02,30,29,274,0,285604.16,1762.9886419753084,474.635,5303.666920279447,23528.21,3.58,162,0
5859,bank,-248.18999999999977,-10.34124999999999,-27.809999999999995,937.3365296844981,1451.57,-2041.49,9097.589999999998,-9345.78,758.1324999999998,-778.815,800.855,-658.53,473.20784749362036,569.797943812302,1451.57,-136.45,80.83,-2041.49,12,12,269,0,130049.30999999998,1048.784758064516,392.46,2287.9664849698884,9127.21,7.52,124,0
6069,bank,2260.5999999999995,75.35333333333331,152.70499999999998,943.7376657712683,1703.11,-1429.67,13417.79,-11157.189999999999,838.611875,-796.9421428571428,795.27,-837.8199999999999,479.0859497170106,430.7527643587993,1703.11,-96.76,116.24,-1429.67,16,14,274,0,486777.95999999996,3357.0893793103446,404.39,11420.381500571633,47582.84,1.5,145,0
4214,bank,5804.13,89.2943076923077,184.96,673.6002488864623,1668.41,-1288.45,20041.47,-14237.34,455.48795454545456,-677.9685714285714,184.96,-771.85,436.44975785642055,359.5375233169093,1668.41,-75.76,10.1,-1288.45,44,21,274,0,178470.38,1239.377638888889,460.235,2891.8387277557918,12338.85,25.15,144,0
762,bank,10697.080000000002,27.78462337662338,22.99,831.4566736531873,2107.54,-1749.82,145362.68,-134665.59999999998,753.1745077720207,-701.3833333333332,725.55,-673.435,421.51137028566023,380.9296045839921,2107.54,-27.73,22.99,-1749.82,193,192,275,0,247170.17,1670.0687162162162,439.14,4780.156982574259,20354.02,0.19,148,0
4712,bank,943.8000000000002,17.807547169811325,-39.19,855.1761642669927,1614.88,-1702.35,19500.710000000003,-18556.910000000003,780.0284000000001,-662.7467857142858,712.77,-586.03,405.84094537022753,493.7823736188779,1614.88,-14.73,210.03,-1702.35,25,28,265,0,241810.09,1550.0646794871795,410.96000000000004,4510.989029016973,19683.87,3.23,156,0
5706,bank,1120.5100000000002,36.14548387096775,158.73,726.3201613973401,1511.3,-1128.09,10110.490000000002,-8989.98,561.693888888889,-691.536923076923,505.87,-740.18,407.3287021434523,309.6023942463574,1511.3,-140.96,66.39,-1128.09,18,13,271,0,176576.13999999998,1201.198231292517,413.53,2842.1834251665337,12210.34,2.28,147,0
7680,bank,2447.41,152.963125,361.43499999999995,760.7231270987603,1337.74,-1279.48,6408.7300000000005,-3961.3199999999997,582.6118181818182,-792.2639999999999,444.47,-743.47,372.10061896799317,446.6701386146157,1337.74,-238.72,62.06,-1279.48,11,5,274,0,158893.88,1143.121438848921,481.63,2565.546293351535,10787.04,2.31,139,0
7676,bank,-1468.2400000000002,-77.27578947368423,388.67,860.3830944043717,1182.72,-1458.22,6415.36,-7883.6,534.6133333333333,-1126.2285714285715,388.67,-1000.45,245.40993487088767,279.0351507981609,1182.72,-820.99,367.97,-1458.22,12,7,222,0,215114.37,1405.976274509804,452.06,3696.649359605386,16079.33,8.34,153,0
6259,bank,-8718.57,-121.09125,-75.21000000000001,617.699439761373,1117.46,-1496.58,13710.439999999999,-22429.01,623.2018181818181,-448.5802,566.48,-380.57,304.3293538357097,393.71212402729185,1117.46,-56.76,48.01,-1496.58,22,50,271,0,270741.43,1758.0612337662337,453.41499999999996,5087.16946224356,22065.01,4.96,154,0
3678,bank,-499.6000000000003,-5.20416666666667,-81.1,830.4341673348906,1817.76,-1654.33,33521.96,-34021.56,761.8627272727273,-654.2607692307691,716.34,-606.34,449.61211480390017,420.69007036220563,1817.76,-21.89,3.77,-1654.33,44,52,271,0,297770.15,1815.6716463414637,461.445,5452.62066074308,24332.32,15.28,164,0
5531,bank,7169.410000000001,298.7254166666667,626.36,868.8175311005442,1462.09,-1462.09,13352.83,-6183.42,890.1886666666667,-687.0466666666666,1000.39,-897.48,325.9796107968075,484.84286330727815,1462.09,-100.81,342.88,-1462.09,15,9,270,0,201619.66,1390.4804137931035,472.69,3474.2533859735163,14788.35,14.83,145,0
6193,bank,3370.83,134.8332,338.91,946.0439854411281,1496.17,-1848.39,11830.36,-8459.529999999999,845.0257142857143,-769.0481818181817,802.3699999999999,-811.55,440.0453540036751,539.8534691528467,1496.17,-8.79,234.08,-1848.39,14,11,275,0,188400.63,1223.3807142857142,461.88,3041.4298525022145,13321.45,3.61,154,0
4194,bank,6329.04,137.5878260869565,97.78,794.522667791907,1445.51,-1579.49,18852.92,-12523.880000000001,785.5383333333333,-569.2672727272728,860.9649999999999,-414.485,372.04321903763287,444.81579999539264,1445.51,-43.45,93.85,-1579.49,24,22,262,0,146084.61,980.4336241610737,458.42,1982.120381413931,8684.9,4.91,149,0
9915,bank,6214.650000000001,248.586,438.52,712.693794539422,1310.88,-1039.62,11284.98,-5070.33,626.9433333333333,-724.3328571428572,438.52,-832.23,354.8939617108518,375.6014636869903,1310.88,-56.78,158.79,-1039.62,18,7,257,0,284198.39,1821.7845512820513,451.355,5504.779065522137,23957.87,0.13,156,0
2268,bank,6958.72,53.528615384615385,241.065,840.114649526156,1921.61,-1817.78,51002.62000000001,-44043.9,718.3467605633804,-746.5067796610169,546.52,-716.07,399.84105947515354,429.7553690360514,1921.61,-76.81,69.34,-1817.78,71,59,272,0,238911.31999999998,1592.7421333333332,428.81,4447.027784200415,19091.78,12.27,150,0
1912,bank,16741.89,84.55499999999999,42.82,792.9792658581715,1682.06,-1607.14,76756.6,-60014.71,767.566,-612.395,759.87,-577.345,408.51309265518904,367.528789399727,1682.06,-4.02,31.09,-1607.14,100,98,275,0,99987.22,666.5814666666666,387.095,978.8137097242476,4327.72,0.6,150,0
8225,bank,5886.79,346.2817647058823,328.33,865.8256240955457,1692.02,-1152.61,9493.82,-3607.0299999999997,949.382,-515.29,1161.23,-400.52,514.5236091721696,360.18814611255596,1692.02,-154.37,208.55,-1152.61,10,7,272,0,341252.67,2173.5838853503183,469.47,6833.619003405117,29770.22,7.55,157,0
2412,bank,-1393.1100000000001,-12.438482142857143,47.519999999999996,865.4765248909499,1858.99,-1713.69,40883.89,-42277.0,717.2612280701754,-768.6727272727272,665.79,-798.81,450.9654350274933,429.2870767975519,1858.99,-14.82,18.38,-1713.69,57,55,273,0,139826.04,919.9081578947369,513.4300000000001,1713.0521441418246,7597.17,2.8,152,0
9503,bank,-655.6899999999999,-40.980624999999996,-60.17500000000001,912.1874820559551,1626.29,-1516.09,5765.07,-6420.76,720.63375,-802.595,788.54,-709.5899999999999,537.7283011744207,409.934603808949,1626.29,-286.04,165.69,-1516.09,8,8,245,0,73258.92,475.7072727272727,454.055,321.9370177763588,1657.97,4.94,154,0
3571,bank,8959.45,89.59450000000001,252.07,932.6451459983549,1769.92,-1879.95,46333.740000000005,-37374.29,842.4316363636365,-830.5397777777778,790.69,-857.96,448.8362140344229,368.14125414950126,1769.92,-31.25,1.31,-1879.95,55,45,271,0,144994.97,1082.0520149253732,410.07,2421.537176373215,9990.38,5.8,134,0
6808,bank,-314.72999999999973,-10.152580645161281,53.41,805.2181746043232,1294.76,-1384.89,10714.65,-11029.38,630.2735294117647,-787.8128571428571,524.09,-717.49,406.76359388687274,324.02884485628914,1294.76,-370.46,46.91,-1384.89,17,14,268,0,296990.92,1833.2772839506172,387.89,5699.400701163662,25217.3,5.82,162,0
8440,bank,3713.23,185.6615,158.73,475.0845034559087,1225.47,-718.3,5705.99,-1992.76,438.9223076923077,-284.68,298.6,-166.45,345.91357420493165,279.92399254083244,1225.47,-36.78,68.49,-718.3,13,7,263,0,234090.19,1530.0012418300653,493.92,4222.862394858917,18319.95,4.09,153,0
616,bank,-43613.670000000006,-84.03404624277458,-376.18,737.2204169184641,2107.48,-1920.88,141569.8,-185183.47,757.0577540106951,-557.7815361445784,701.03,-376.18,449.7857827449024,334.7782417153659,2107.48,-8.81,10.0,-1920.88,187,332,274,0,103429.31,667.285870967742,484.01,697.8234572981679,3126.88,6.26,155,0
2306,bank,13700.32,137.0032,222.155,887.2534123422063,2076.72,-1638.0,45285.35,-31585.029999999995,794.4798245614035,-734.5355813953487,721.09,-686.66,485.84246100933944,420.1644606993468,2076.72,-43.5,58.79,-1638.0,57,43,275,0,293249.62,1942.050463576159,410.04,5956.281340316103,25486.25,0.57,151,0
7163,bank,5101.24,137.87135135135134,562.15,803.2326798463339,1491.51,-1622.43,15664.2,-10562.960000000001,626.568,-880.2466666666668,583.12,-764.4649999999999,346.32097978850004,419.8137377745545,1491.51,-346.1,70.37,-1622.43,25,12,274,0,253769.83000000002,1680.5949006622518,436.6,4866.372644263194,20906.06,4.07,151,0
1877,bank,-11070.95,-54.004634146341466,-136.44,827.767244986202,1654.87,-2106.92,69029.74,-80100.69,690.2974,-762.8637142857143,725.825,-698.82,377.2681638192594,410.5653233845731,1654.87,-24.32,23.06,-2106.92,100,105,272,0,126267.79,870.8123448275861,458.43,1569.9603378022773,6843.23,3.63,145,0
10,bank,-23951.36,-15.893404114134041,-76.61,828.6907740338462,2237.79,-2369.34,529797.8,-553749.1599999999,728.7452544704265,-709.9348205128204,679.5,-667.085,418.4874728062579,405.72686811036186,2237.79,-14.67,5.22,-2369.34,727,780,275,0,72003.05,500.0211805555556,434.16999999999996,354.1994953649403,1688.67,7.09,144,0
3840,bank,5240.380000000001,104.80760000000002,345.915,865.916856240051,1682.89,-1370.08,22130.350000000006,-16889.969999999998,790.369642857143,-767.725909090909,743.47,-696.385,403.2203789904487,341.0177447925839,1682.89,-125.59,13.48,-1370.08,28,22,274,0,168445.25,1145.8860544217687,466.69,2589.209110984447,11161.75,1.06,147,0
1653,bank,16020.130000000001,79.7021393034826,48.08,826.6039940061387,2233.53,-1637.75,80141.6,-64121.469999999994,793.4811881188119,-641.2147,783.75,-579.02,441.30477959634004,372.68069618373033,2233.53,-3.79,48.08,-1637.75,101,100,273,0,65655.65,472.34280575539566,396.53,299.2793867813412,1313.19,4.96,139,0
7263,bank,1380.2200000000003,57.50916666666668,13.955,839.1905260320115,1355.71,-1266.0,9443.140000000001,-8062.92,786.9283333333334,-671.91,843.49,-628.8299999999999,423.5260139017616,363.7136949455012,1355.71,-28.81,56.72,-1266.0,12,12,274,0,192939.83,2538.6819736842103,419.54499999999996,5739.543689182273,18066.84,2.03,76,0
7828,bank,2542.760000000001,133.8294736842106,237.91,988.8092416609749,1540.66,-1400.06,9565.550000000001,-7022.789999999999,797.1291666666667,-1003.2557142857141,1013.1400000000001,-1029.67,510.28005268868753,259.7457012064648,1540.66,-590.91,87.99,-1400.06,12,7,268,0,144978.04,941.4158441558442,450.885,1964.8612438759856,8701.8,10.5,154,0
7061,bank,-1768.2999999999997,-53.58484848484848,-156.13,764.3801399055365,1285.64,-1302.76,10014.13,-11782.430000000002,715.295,-620.1278947368422,703.97,-506.55,333.2728963742661,399.8629416934833,1285.64,-25.39,122.7,-1302.76,14,19,271,0,65291.14,473.1242028985507,386.40999999999997,366.23600666087907,1554.55,7.93,138,0
8446,bank,3142.4700000000003,157.1235,404.04999999999995,884.1587349403475,1921.84,-1418.2,9333.849999999999,-6191.38,777.8208333333332,-773.9225,708.625,-719.405,439.3252044475467,409.17483632131075,1921.84,-347.48,308.08,-1418.2,12,8,266,0,201515.83,1419.1255633802816,470.435,3596.7553265094066,15136.99,4.48,142,0
6562,bank,3737.1000000000004,128.86551724137934,184.07,885.2918301513681,1920.91,-1216.7,13165.27,-9428.17,822.829375,-725.2438461538461,762.5799999999999,-764.42,439.2407433662281,393.89816716038126,1920.91,-63.0,129.12,-1216.7,16,13,263,0,97093.6,683.7577464788733,544.875,676.6751096902548,2939.85,24.3,142,0
3913,bank,1788.4199999999998,33.11888888888888,62.57,854.8589886027804,1614.71,-1573.12,21129.720000000005,-19341.3,754.6328571428573,-743.8961538461538,721.125,-744.26,404.8845590193273,401.5732239089347,1614.71,-87.87,61.93,-1573.12,28,26,258,0,167565.32,1040.7783850931678,502.5,2213.743866664824,10009.36,14.01,161,0
9312,bank,-1185.0499999999997,-32.02837837837837,21.91,614.1623335917409,1447.72,-1169.77,6882.62,-8067.67,254.91185185185185,-806.767,21.91,-869.14,427.6287799287623,258.0421111649113,1447.72,-303.28,21.91,-1169.77,27,10,275,0,106079.95,711.9459731543624,422.37,975.4941041844077,4327.86,20.37,149,0
2358,bank,-26222.449999999997,-204.86289062499998,-349.925,860.7566976548715,1905.7,-1702.77,35837.47,-62059.920000000006,716.7494,-795.6400000000001,674.575,-744.08,425.3596165378953,449.2002044991497,1905.7,-10.0,52.37,-1702.77,50,78,272,0,219130.95,1336.1643292682927,462.08,3583.350056453947,16108.36,1.46,164,0
7709,bank,2975.8099999999995,175.0476470588235,346.74,795.9889497939764,1151.69,-1414.73,7462.050000000001,-4486.24,678.3681818181819,-747.7066666666666,789.04,-729.005,341.78520028866615,463.44427732648364,1151.69,-181.69,137.46,-1414.73,11,6,259,0,233287.55,1565.688255033557,452.0,4326.692666996217,18528.86,27.62,149,0
4,bank,-7614.289999999998,-5.089766042780748,-18.84,844.8281155090234,2383.89,-2107.53,542657.81,-550272.1000000001,732.3317273954117,-728.8372185430464,693.32,-703.81,424.1575947897466,423.8800642919994,2383.89,-2.69,1.47,-2107.53,741,755,275,0,185349.33000000002,1260.8797959183676,461.67,3085.839992869878,13235.62,1.88,147,0
7359,bank,5658.389999999999,195.11689655172412,339.53,958.8001769663681,1531.96,-1614.19,15155.069999999998,-9496.68,891.4747058823529,-791.39,951.36,-885.62,438.0378397056247,499.8555953109221,1531.96,-122.75,151.79,-1614.19,17,12,273,0,275680.2,1650.7796407185629,477.42,4825.957812419135,21758.36,3.66,167,0
6975,bank,2976.75,110.25,316.89,874.3046227805183,1563.77,-1235.55,12256.220000000003,-9279.470000000001,875.4442857142859,-713.8053846153847,880.62,-611.25,350.028169211791,323.6098255516815,1563.77,-316.89,316.89,-1235.55,14,13,274,0,198731.71,1333.769865771812,437.05,3544.8153117917864,15226.5,2.79,149,0
8903,bank,-272.58000000000015,-17.03625000000001,318.75,935.7305748050558,1035.02,-1498.55,6588.42,-6861.0,732.0466666666666,-980.1428571428571,754.19,-1107.2,294.3216948765415,386.80879155444427,1035.02,-389.36,186.55,-1498.55,9,7,250,0,229265.14,1424.0070807453417,406.16,4007.340300282662,17792.0,0.98,161,0
9814,bank,3307.1000000000004,220.47333333333336,-155.13,920.888655590478,2369.32,-881.83,7091.9400000000005,-3784.84,1013.1342857142857,-473.105,836.94,-448.125,726.0514273763521,257.1858247037955,2369.32,-155.13,388.74,-881.83,7,8,268,0,195796.68,1279.716862745098,395.72,3397.968969919554,14769.76,1.5,153,0
3416,bank,62592.420000000006,324.3130569948187,719.45,700.230651951021,1697.17,-1828.67,99765.20999999999,-37172.78999999999,712.6086428571429,-701.373396226415,719.45,-680.12,236.87543734842626,426.9008495943732,1697.17,-42.34,35.73,-1828.67,140,53,275,0,222196.71,1511.542244897959,451.52,4033.2658780233073,17203.41,6.2,147,0
1378,bank,-3922.8500000000004,-19.51666666666667,-89.93,880.7249549197147,2073.97,-2072.38,74371.82,-78294.66999999998,782.8612631578948,-738.6289622641508,724.96,-647.29,445.7932783807437,441.6155144723998,2073.97,-12.35,57.65,-2072.38,95,106,274,0,181904.6,1173.578064516129,445.7,2824.2219716270374,12436.09,8.4,155,0
2698,bank,10637.46,106.37459999999999,216.235,831.4516435867274,1936.37,-1412.66,42091.240000000005,-31453.78,751.6292857142859,-714.8586363636364,641.5450000000001,-810.97,443.3822788760267,328.38862600754084,1936.37,-140.17,163.11,-1412.66,56,44,275,0,220178.44,1318.4337724550899,442.51,3521.687203654503,15971.42,0.59,167,0
8582,bank,-2266.81,-141.675625,-88.05000000000001,709.9572490882227,1038.84,-1259.74,3814.13,-6080.9400000000005,476.76625,-760.1175000000001,264.57,-813.625,349.24356694913814,289.64665802861055,1038.84,-333.05,156.95,-1259.74,8,8,246,0,128434.67,797.7308695652174,481.1,1327.6741798688747,6064.65,6.69,161,0
5755,bank,973.4200000000002,30.419375000000006,218.705,876.7117692537175,1785.67,-1785.67,12417.39,-11443.970000000001,689.855,-817.4264285714287,575.395,-787.72,445.5204885134848,443.9190366169028,1785.67,-253.59,92.91,-1785.67,18,14,269,0,216299.93,1343.4778260869564,476.45,3551.0940653798334,15839.1,4.91,161,0
9097,bank,6750.64,250.02370370370372,545.89,649.9438268103113,1301.37,-1301.37,12001.439999999997,-5250.799999999999,631.6547368421051,-656.3499999999999,545.89,-596.3399999999999,237.21643542854883,300.2149154474888,1301.37,-284.54,244.74,-1301.37,19,8,266,0,222879.68,1495.8367785234898,444.77,4096.699439110028,17553.2,12.29,149,0
5680,bank,6752.23,192.92085714285713,220.28,889.2858275319829,2039.71,-1070.81,16643.87,-9891.64,875.9931578947368,-618.2275,888.66,-692.545,568.056003890585,335.3867707488376,2039.71,-9.87,27.58,-1070.81,19,16,274,0,133340.5,888.9366666666666,463.23,1614.6171752448088,7118.95,1.92,150,0
8282,bank,2934.22,209.58714285714285,465.69,824.8272172114274,1424.04,-1529.41,6484.84,-3550.6200000000003,720.5377777777778,-710.124,680.12,-733.9,332.71320400525804,587.3365080854417,1424.04,-129.12,288.15,-1529.41,9,5,248,0,238967.87999999998,1448.2901818181817,445.68,4112.539595476146,18466.76,2.79,165,0
486,bank,-19139.960000000003,-48.09035175879398,-107.89,849.8626780880127,1828.67,-1724.76,139979.22000000003,-159119.18,748.5519786096258,-754.119336492891,756.44,-725.51,400.018647179385,397.13814935831607,1828.67,-26.55,51.15,-1724.76,187,211,273,0,397571.68,2500.450817610063,541.02,7988.440471091549,34977.95,12.73,159,0
2809,bank,8248.1,86.8221052631579,148.16,783.0467042997303,1819.58,-1386.28,36548.44,-28300.34,716.6360784313725,-643.1895454545455,635.52,-615.4449999999999,417.5734646458198,349.10400986255394,1819.58,-97.93,110.46,-1386.28,51,44,273,0,239038.03,1439.9881325301205,485.345,4046.300338379246,18228.75,4.5,166,0
5794,bank,4780.42,159.34733333333332,197.75,835.2217381069753,1457.96,-1134.26,13731.53,-8951.11,762.8627777777779,-745.9258333333333,802.0150000000001,-743.415,417.7055641844547,281.8365297782107,1457.96,-239.38,109.52,-1134.26,18,12,274,0,132672.36,839.6984810126581,467.655,1445.9517835906615,6539.46,9.71,158,0
4369,bank,10342.970000000001,143.65236111111113,445.90999999999997,815.9455633293693,1837.81,-1511.3,31067.040000000005,-20724.07,722.4893023255815,-714.6231034482759,587.61,-697.78,389.46717702275384,427.9936860524217,1837.81,-42.39,54.63,-1511.3,43,29,275,0,495477.2,3489.2760563380284,424.635,11683.10914026899,48222.96,7.1,142,0
3709,bank,-1011.1400000000001,-14.869705882352942,-229.04000000000002,781.2528555209345,1725.14,-1919.72,21958.6,-22969.74,731.9533333333333,-604.4668421052633,696.69,-454.15,404.3949631864556,409.65539279889583,1725.14,-60.01,129.13,-1919.72,30,38,271,0,148780.33,959.8730967741934,474.15,1909.97514453589,8524.23,4.93,155,0
3073,bank,1551.0600000000004,15.99030927835052,153.39,874.4944273067317,2013.2,-1954.0,37572.88,-36021.82000000001,695.794074074074,-837.7167441860466,679.225,-753.05,406.7553527080789,445.93336134514067,2013.2,-39.03,14.87,-1954.0,54,43,272,0,174410.18,1125.2269677419354,437.96,2700.983871298045,11897.82,1.06,155,0
7146,bank,-409.8799999999999,-13.221935483870963,26.41,762.366070705403,1552.11,-1300.18,9850.529999999999,-10260.410000000002,615.6581249999999,-684.0273333333334,592.495,-632.73,387.41978168766326,387.9533430980488,1552.11,-36.72,26.41,-1300.18,16,15,272,0,225773.49,2894.531923076923,557.56,6641.2434424052735,21143.48,21.36,78,0
3612,bank,-201.70999999999984,-1.9029245283018852,-7.52,843.0211071762669,2074.04,-1764.28,38243.81,-38445.52,721.5813207547169,-725.3871698113207,632.7,-722.72,465.55048753738726,388.98344533380737,2074.04,-34.65,19.61,-1764.28,53,53,270,0,222608.24000000002,1613.1031884057973,443.84000000000003,4384.9609917531825,18108.36,1.93,138,0
