step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isSAR,alertID
39,TRANSFER,220.5,5,64238.36,64017.85,1,86968.62,87189.13,0,-1
40,TRANSFER,503.59,3,77745.39,77241.79,8,54931.23,55434.82,0,-1
43,TRANSFER,537.64,2,84266.46,83728.82,0,88434.6,88972.24,0,-1
43,TRANSFER,524.34,13,75448.54,74924.2,7,89164.17,89688.52,0,-1
44,TRANSFER,180.94,1,87189.13,87008.17,15,104368.09,104549.04,0,-1
44,TRANSFER,398.65,4,86822.93,86424.28,14,57785.14,58183.79,0,-1
44,TRANSFER,794.44,9,95157.09,94362.65,7,89688.52,90482.96,0,-1
45,TRANSFER,268.98,11,86479.73,86210.75,2,83728.82,83997.81,0,-1
46,TRANSFER,817.1,5,64017.85,63200.75,2,83997.81,84814.91,0,-1
47,TRANSFER,712.6,3,77241.79,76529.2,15,104549.04,105261.64,0,-1
50,TRANSFER,185.79,2,84814.91,84629.11,0,88972.24,89158.03,0,-1
50,TRANSFER,695.73,13,74924.2,74228.46,14,58183.79,58879.53,0,-1
51,TRANSFER,238.64,4,86424.28,86185.64,2,84629.11,84867.76,0,-1
51,TRANSFER,633.9,9,94362.65,93728.75,7,90482.96,91116.87,0,-1
51,TRANSFER,175.94,1,87008.17,86832.23,15,105261.64,105437.59,0,-1
52,TRANSFER,723.58,11,86210.75,85487.16,9,93728.75,94452.32,0,-1
53,TRANSFER,765.09,5,63200.75,62435.65,1,86832.23,87597.33,0,-1
54,TRANSFER,254.49,3,76529.2,76274.7,8,55434.82,55689.32,0,-1
57,TRANSFER,105.95,2,84867.76,84761.8,0,89158.03,89264.0,0,-1
57,TRANSFER,638.27,13,74228.46,73590.18,7,91116.87,91755.14,0,-1
58,TRANSFER,628.75,4,86185.64,85556.87,14,58879.53,59508.29,0,-1
58,TRANSFER,124.54,1,87597.33,87472.78,15,105437.59,105562.14,0,-1
58,TRANSFER,887.15,9,94452.32,93565.17,7,91755.14,92642.3,0,-1
59,TRANSFER,841.44,11,85487.16,84645.72,2,84761.8,85603.25,0,-1
60,TRANSFER,749.3,5,62435.65,61686.35,2,85603.25,86352.55,0,-1
61,TRANSFER,535.62,3,76274.7,75739.07,15,105562.14,106097.75,0,-1
64,TRANSFER,330.11,2,86352.55,86022.43,0,89264.0,89594.1,0,-1
64,TRANSFER,484.65,13,73590.18,73105.53,14,59508.29,59992.94,0,-1
65,TRANSFER,853.64,9,93565.17,92711.53,7,92642.3,93495.94,0,-1
65,TRANSFER,969.42,4,85556.87,84587.45,2,86022.43,86991.86,0,-1
65,TRANSFER,376.4,1,87472.78,87096.38,15,106097.75,106474.16,0,-1
66,TRANSFER,178.9,11,84645.72,84466.82,9,92711.53,92890.43,0,-1
67,TRANSFER,837.05,5,61686.35,60849.29,1,87096.38,87933.43,0,-1
68,TRANSFER,547.37,3,75739.07,75191.7,8,55689.32,56236.7,0,-1
71,TRANSFER,555.62,2,86991.86,86436.24,0,89594.1,90149.73,0,-1
71,TRANSFER,613.52,13,73105.53,72492.01,7,93495.94,94109.46,0,-1
72,TRANSFER,674.72,1,87933.43,87258.71,15,106474.16,107148.89,0,-1
72,TRANSFER,630.17,9,92890.43,92260.26,7,94109.46,94739.64,0,-1
72,TRANSFER,685.93,4,84587.45,83901.51,14,59992.94,60678.87,0,-1
73,TRANSFER,327.61,11,84466.82,84139.21,2,86436.24,86763.85,0,-1
74,TRANSFER,796.2,5,60849.29,60053.08,2,86763.85,87560.06,0,-1
75,TRANSFER,145.75,3,75191.7,75045.94,15,107148.89,107294.64,0,-1
78,TRANSFER,972.78,2,87560.06,86587.27,0,90149.73,91122.52,0,-1
78,TRANSFER,451.79,13,72492.01,72040.21,14,60678.87,61130.67,0,-1
79,TRANSFER,529.74,1,87258.71,86728.96,15,107294.64,107824.39,0,-1
79,TRANSFER,469.29,4,83901.51,83432.22,2,86587.27,87056.56,0,-1
79,TRANSFER,637.56,9,92260.26,91622.7,7,94739.64,95377.2,0,-1
80,TRANSFER,378.38,11,84139.21,83760.82,9,91622.7,92001.08,0,-1
81,TRANSFER,208.21,5,60053.08,59844.87,1,86728.96,86937.17,0,-1
82,TRANSFER,739.16,3,75045.94,74306.77,8,56236.7,56975.87,0,-1
85,TRANSFER,325.53,13,72040.21,71714.68,7,95377.2,95702.74,0,-1
85,TRANSFER,624.07,2,87056.56,86432.49,0,91122.52,91746.59,0,-1
86,TRANSFER,403.82,1,86937.17,86533.35,15,107824.39,108228.22,0,-1
86,TRANSFER,469.53,9,92001.08,91531.55,7,95702.74,96172.27,0,-1
86,TRANSFER,700.85,4,83432.22,82731.37,14,61130.67,61831.52,0,-1
87,TRANSFER,620.76,11,83760.82,83140.06,2,86432.49,87053.25,0,-1
88,TRANSFER,925.04,5,59844.87,58919.82,2,87053.25,87978.31,0,-1
89,TRANSFER,111.65,3,74306.77,74195.12,15,108228.22,108339.87,0,-1
92,TRANSFER,335.19,13,71714.68,71379.48,14,61831.52,62166.72,0,-1
92,TRANSFER,861.0,10,61085.19,60224.18,6,85581.39,86442.4,0,-1
92,TRANSFER,594.72,2,87978.31,87383.58,0,91746.59,92341.32,0,-1
93,TRANSFER,887.61,4,82731.37,81843.75,2,87383.58,88271.19,0,-1
93,TRANSFER,649.31,1,86533.35,85884.03,15,108339.87,108989.18,0,-1
93,TRANSFER,637.18,9,91531.55,90894.36,7,96172.27,96809.46,0,-1
94,TRANSFER,737.38,11,83140.06,82402.67,9,90894.36,91631.75,0,-1
95,TRANSFER,391.41,5,58919.82,58528.41,1,85884.03,86275.44,0,-1
96,TRANSFER,686.98,3,74195.12,73508.14,8,56975.87,57662.85,0,-1
99,TRANSFER,888.63,13,71379.48,70490.85,7,96809.46,97698.09,0,-1
99,TRANSFER,779.95,2,88271.19,87491.24,0,92341.32,93121.27,0,-1
