tran_id,tran_timestamp,base_amt,tx_type,orig_acct,bene_acct,is_sar,alert_id
70,2023-02-21T00:00:00Z,633.9,TRANSFER,9,7,False,-1
71,2023-02-21T00:00:00Z,175.94,TRANSFER,1,15,False,-1
72,2023-02-22T00:00:00Z,723.58,TRANSFER,11,9,False,-1
73,2023-02-23T00:00:00Z,765.09,TRANSFER,5,1,False,-1
74,2023-02-24T00:00:00Z,254.49,TRANSFER,3,8,False,-1
75,2023-02-27T00:00:00Z,105.95,TRANSFER,2,0,False,-1
76,2023-02-27T00:00:00Z,638.27,TRANSFER,13,7,False,-1
77,2023-02-28T00:00:00Z,628.75,TRANSFER,4,14,False,-1
78,2023-02-28T00:00:00Z,124.54,TRANSFER,1,15,False,-1
79,2023-02-28T00:00:00Z,887.15,TRANSFER,9,7,False,-1
80,2023-03-01T00:00:00Z,841.44,TRANSFER,11,2,False,-1
81,2023-03-02T00:00:00Z,749.3,TRANSFER,5,2,False,-1
82,2023-03-03T00:00:00Z,535.62,TRANSFER,3,15,False,-1
83,2023-03-06T00:00:00Z,330.11,TRANSFER,2,0,False,-1
84,2023-03-06T00:00:00Z,484.65,TRANSFER,13,14,False,-1
85,2023-03-07T00:00:00Z,853.64,TRANSFER,9,7,False,-1
86,2023-03-07T00:00:00Z,969.42,TRANSFER,4,2,False,-1
87,2023-03-07T00:00:00Z,376.4,TRANSFER,1,15,False,-1
88,2023-03-08T00:00:00Z,178.9,TRANSFER,11,9,False,-1
89,2023-03-09T00:00:00Z,837.05,TRANSFER,5,1,False,-1
90,2023-03-10T00:00:00Z,547.37,TRANSFER,3,8,False,-1
91,2023-03-13T00:00:00Z,555.62,TRANSFER,2,0,False,-1
92,2023-03-13T00:00:00Z,613.52,TRANSFER,13,7,False,-1
93,2023-03-14T00:00:00Z,674.72,TRANSFER,1,15,False,-1
94,2023-03-14T00:00:00Z,630.17,TRANSFER,9,7,False,-1
95,2023-03-14T00:00:00Z,685.93,TRANSFER,4,14,False,-1
96,2023-03-15T00:00:00Z,327.61,TRANSFER,11,2,False,-1
97,2023-03-16T00:00:00Z,796.2,TRANSFER,5,2,False,-1
98,2023-03-17T00:00:00Z,145.75,TRANSFER,3,15,False,-1
99,2023-03-20T00:00:00Z,972.78,TRANSFER,2,0,False,-1
100,2023-03-20T00:00:00Z,451.79,TRANSFER,13,14,False,-1
101,2023-03-21T00:00:00Z,529.74,TRANSFER,1,15,False,-1
102,2023-03-21T00:00:00Z,469.29,TRANSFER,4,2,False,-1
103,2023-03-21T00:00:00Z,637.56,TRANSFER,9,7,False,-1
104,2023-03-22T00:00:00Z,378.38,TRANSFER,11,9,False,-1
105,2023-03-23T00:00:00Z,208.21,TRANSFER,5,1,False,-1
106,2023-03-24T00:00:00Z,739.16,TRANSFER,3,8,False,-1
107,2023-03-27T00:00:00Z,325.53,TRANSFER,13,7,False,-1
108,2023-03-27T00:00:00Z,624.07,TRANSFER,2,0,False,-1
109,2023-03-28T00:00:00Z,403.82,TRANSFER,1,15,False,-1
110,2023-03-28T00:00:00Z,469.53,TRANSFER,9,7,False,-1
111,2023-03-28T00:00:00Z,700.85,TRANSFER,4,14,False,-1
112,2023-03-29T00:00:00Z,620.76,TRANSFER,11,2,False,-1
113,2023-03-30T00:00:00Z,925.04,TRANSFER,5,2,False,-1
114,2023-03-31T00:00:00Z,111.65,TRANSFER,3,15,False,-1
115,2023-04-03T00:00:00Z,335.19,TRANSFER,13,14,False,-1
116,2023-04-03T00:00:00Z,861.0,TRANSFER,10,6,False,-1
117,2023-04-03T00:00:00Z,594.72,TRANSFER,2,0,False,-1
118,2023-04-04T00:00:00Z,887.61,TRANSFER,4,2,False,-1
119,2023-04-04T00:00:00Z,649.31,TRANSFER,1,15,False,-1
120,2023-04-04T00:00:00Z,637.18,TRANSFER,9,7,False,-1
121,2023-04-05T00:00:00Z,737.38,TRANSFER,11,9,False,-1
122,2023-04-06T00:00:00Z,391.41,TRANSFER,5,1,False,-1
123,2023-04-07T00:00:00Z,686.98,TRANSFER,3,8,False,-1
124,2023-04-10T00:00:00Z,888.63,TRANSFER,13,7,False,-1
125,2023-04-10T00:00:00Z,779.95,TRANSFER,2,0,False,-1
